Player,Year,Pk,G,PPG,APG,Start%,All-NBA,All Star,All-Defense,3P%,3PM_36,PTS_36,AST_36,REB_36,OBPM,DBPM,TS%,USG%,TOV%
Gary Trent Jr.,2018,37.0,341.0,14.290029325513196,1.5043988269794721,0.5894428152492669,0.0,0.0,0.0,0.38550323176361956,3.0657827638959714,17.89535951045385,1.8798572157062723,2.992350841407445,-0.3244875063742988,-0.6784701682814891,0.5508821009688933,20.36278429372769,5.1440897501274865
Khyri Thomas,2018,38.0,39.0,4.066666666666666,0.9230769230769231,0.05128205128205128,0.0,0.0,0.0,0.3157894736842105,2.1124694376528117,14.083129584352077,3.1687041564792175,3.432762836185819,-2.325672371638142,-0.33863080684596575,0.48368215158924205,18.42029339853301,7.444987775061125
Isaac Bonga,2018,39.0,143.0,3.0895104895104897,0.8608391608391608,0.3986013986013986,0.0,0.0,0.0,0.3,0.7504008551576697,8.44681988241582,2.2704436130411545,6.157135221806521,-3.791127739176911,0.2586851950828434,0.541421165152325,11.135168359166222,17.78278995189738
Rodions Kurucs,2018,40.0,131.0,5.978625954198473,0.8595419847328245,0.4198473282442748,0.0,0.0,0.0,0.3288135593220339,1.660485021398003,13.352353780313837,1.934379457917261,6.950071326676177,-3.335710889205896,0.5843081312410842,0.5431407513076558,17.04797907750832,16.265430337612933
Jarred Vanderbilt,2018,41.0,273.0,6.077289377289378,1.4673992673992673,0.6153846153846154,0.0,0.0,0.0,0.2898550724637681,0.25741866285305687,10.689309974973186,2.542009295673936,11.223453700393279,-1.1767071862710046,1.3100286020736505,0.6050867000357525,12.312799427958526,16.067572398998927
Bruce Brown,2018,42.0,416.0,8.889423076923077,2.505528846153846,0.6153846153846154,0.0,0.0,0.0,0.3368421052631579,0.8815764300746126,12.75875263057203,3.557298641668261,6.0780562464128565,-1.7141763918117467,0.43043810981442504,0.5524091256935144,15.674516931318156,12.204830686818443
Justin Jackson,2018,43.0,,,,,,,,,,,,,,,,,
Issuf Sanon,2018,44.0,,,,,,,,,,,,,,,,,
Hamidou Diallo,2018,45.0,265.0,8.566415094339622,1.069056603773585,0.1660377358490566,0.0,0.0,0.0,0.2743682310469314,0.5563237088247255,16.631150874339163,2.07157381049207,7.385929239528264,-2.4556527043513623,0.37887352582350553,0.5376740544936967,20.727673851159008,11.784810898739325
De'Anthony Melton,2018,46.0,350.0,9.048857142857145,2.786571428571429,0.41714285714285715,0.0,0.0,0.0,0.3686411149825784,2.372788437577872,14.214303513580862,4.355345128332918,5.813107400946922,-0.9224520308995764,1.5588960877149265,0.5327040867181659,18.292910540742586,14.011450286568651
Svi Mykhailiuk,2018,47.0,293.0,6.286006825938566,1.3395904436860067,0.19112627986348124,0.0,0.0,0.0,0.36345966958211856,2.9105058365758754,14.280155642023347,3.0038910505836576,3.8832684824902723,-1.5538261997405967,-0.8152399481193255,0.5411753134457414,17.927712926934714,12.214115866839602
Keita Bates-Diop,2018,48.0,283.0,5.99399293286219,0.8469964664310954,0.23674911660777384,0.0,0.0,0.0,0.3333333333333333,1.1511169513797634,13.37976346911958,1.9001314060446781,6.685939553219448,-1.1580157687253612,-0.4425536574682435,0.5620711782742006,15.227879982479195,9.264607971966711
Chimezie Metu,2018,49.0,260.0,5.867307692307692,0.7565384615384616,0.14615384615384616,0.0,0.0,0.0,0.298050139275766,1.0805049088359047,15.369424964936886,1.9893408134642356,9.16914446002805,-1.6860028050490885,0.029453015427769985,0.5782575035063114,18.370322580645162,13.03969144460028
Alize Johnson,2018,50.0,76.0,2.4842105263157896,0.43421052631578955,0.013157894736842105,0.0,0.0,0.0,0.22727272727272727,0.31690140845070425,11.97887323943662,2.028169014084507,14.450704225352112,-1.5670774647887327,-0.8028169014084507,0.518568661971831,16.113908450704226,15.427112676056339
Tony Carr,2018,51.0,,,,,,,,,,,,,,,,,
Vince Edwards,2018,52.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.25,2.25,6.75,0.0,4.5,-1.6,-4.8,0.375,10.9,0.0
Devon Hall,2018,53.0,11.0,1.8,1.2,0.0,0.0,0.0,0.0,0.23529411764705882,1.7777777777777777,8.88888888888889,5.777777777777778,3.111111111111111,-6.0,-0.7,0.298,20.9,13.0
Shake Milton,2018,54.0,302.0,8.570860927152319,2.517880794701987,0.1490066225165563,0.0,0.0,0.0,0.3576341127922971,1.59699709947108,15.871694250127964,4.631291588466132,4.17061934823409,-1.3088551441733491,-0.7159017232554171,0.5508795427401467,19.969851561167037,12.11791503156458
Arnoldas Kulboka,2018,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.7,-7.1,0.0,8.5,0.0
Ray Spalding,2018,56.0,16.0,3.6625,0.35000000000000003,0.1875,0.0,0.0,0.0,0.0,0.0,12.502994011976048,1.0778443113772456,11.209580838323353,-5.19880239520958,-0.9479041916167665,0.5039401197604789,17.777245508982038,17.362275449101798
Kevin Hervey,2018,57.0,10.0,1.7,0.5,0.0,0.0,0.0,0.0,0.15,2.076923076923077,11.76923076923077,3.4615384615384617,8.307692307692308,-4.0,-1.1,0.315,22.800000000000004,0.0
Thomas Welsh,2018,58.0,11.0,1.6,0.5,0.0,0.0,0.0,0.0,0.42857142857142855,3.0,18.0,5.0,4.0,2.2,-1.1,0.648,17.7,6.7
George King,2018,59.0,5.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,8.64,-13.932,-3.1639999999999997,0.0646,12.388,11.02
Kostas Antetokounmpo,2018,60.0,22.0,0.9545454545454546,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,8.689655172413794,1.2413793103448276,9.517241379310345,-10.108045977011495,0.29540229885057473,0.4797931034482758,18.5367816091954,33.43218390804598
Zion Williamson,2019,1.0,184.0,24.695652173913043,4.127717391304348,1.0,0.0,2.0,0.0,0.3411764705882353,0.17824824995731603,27.917363838142393,4.677479938535086,7.369643162028342,4.536196004780604,0.12586648454840363,0.6310302202492744,29.94008878265323,12.576062830800751
Ja Morant,2019,2.0,257.0,22.49727626459144,7.4093385214007785,0.9922178988326849,1.0,2.0,0.0,0.3184031158714703,1.421395798116397,25.137406423569185,8.271914996377687,5.4030427432987205,3.4137285679787492,-0.5869717459550834,0.5563965225790872,30.29098043950737,14.348116397005553
